case_id,replicate,condition,start_key,run_id,phase,phase_index,label,template,text_len,input_text_preview,induction_growth_identity_created_count,hdb_structure_count,hdb_residual_diff_entry_count,hdb_diff_entry_with_memory_ref_count
H02,2,repeat,B,paper_e02_switch_H02_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,10.0,51.0,36.0,17.0
H02,2,switch,B,paper_e02_switch_H02_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
H02,2,switch,B,paper_e02_switch_H02_switch_B_r2_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,11.0,55.0,38.0,18.0
H02,3,repeat,A,paper_e02_switch_H02_repeat_A_r3_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,3,repeat,A,paper_e02_switch_H02_repeat_A_r3_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,10.0,51.0,36.0,17.0
H02,3,switch,A,paper_e02_switch_H02_switch_A_r3_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,3,switch,A,paper_e02_switch_H02_switch_A_r3_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,11.0,55.0,38.0,18.0
H02,3,repeat,B,paper_e02_switch_H02_repeat_B_r3_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
H02,3,repeat,B,paper_e02_switch_H02_repeat_B_r3_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,10.0,51.0,36.0,17.0
H02,3,switch,B,paper_e02_switch_H02_switch_B_r3_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
H02,3,switch,B,paper_e02_switch_H02_switch_B_r3_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,11.0,55.0,38.0,18.0
H03,1,repeat,A,paper_e02_switch_H03_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,1,repeat,A,paper_e02_switch_H03_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,11.0,54.0,38.0,18.0
H03,1,switch,A,paper_e02_switch_H03_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,1,switch,A,paper_e02_switch_H03_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,12.0,58.0,40.0,19.0
H03,1,repeat,B,paper_e02_switch_H03_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,1,repeat,B,paper_e02_switch_H03_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,11.0,54.0,38.0,18.0
H03,1,switch,B,paper_e02_switch_H03_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,1,switch,B,paper_e02_switch_H03_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,12.0,58.0,40.0,19.0
H03,2,repeat,A,paper_e02_switch_H03_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,2,repeat,A,paper_e02_switch_H03_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,11.0,54.0,38.0,18.0
H03,2,switch,A,paper_e02_switch_H03_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,2,switch,A,paper_e02_switch_H03_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,12.0,58.0,40.0,19.0
H03,2,repeat,B,paper_e02_switch_H03_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,2,repeat,B,paper_e02_switch_H03_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,11.0,54.0,38.0,18.0
H03,2,switch,B,paper_e02_switch_H03_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,2,switch,B,paper_e02_switch_H03_switch_B_r2_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,12.0,58.0,40.0,19.0
H03,3,repeat,A,paper_e02_switch_H03_repeat_A_r3_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,3,repeat,A,paper_e02_switch_H03_repeat_A_r3_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,11.0,54.0,38.0,18.0
H03,3,switch,A,paper_e02_switch_H03_switch_A_r3_e02_label_switch_holdout_confirm_v1,first,0,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,8.0,28.0,16.0,8.0
H03,3,switch,A,paper_e02_switch_H03_switch_A_r3_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,12.0,58.0,40.0,19.0
H03,3,repeat,B,paper_e02_switch_H03_repeat_B_r3_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,3,repeat,B,paper_e02_switch_H03_repeat_B_r3_e02_label_switch_holdout_confirm_v1,second,1,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,11.0,54.0,38.0,18.0
H03,3,switch,B,paper_e02_switch_H03_switch_B_r3_e02_label_switch_holdout_confirm_v1,first,0,舟岚,现在立即标记项目{label}。,11,现在立即标记项目舟岚。,8.0,28.0,16.0,8.0
H03,3,switch,B,paper_e02_switch_H03_switch_B_r3_e02_label_switch_holdout_confirm_v1,second,1,衡阈,现在立即标记项目{label}。,11,现在立即标记项目衡阈。,12.0,58.0,40.0,19.0
H04,1,repeat,A,paper_e02_switch_H04_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,1,repeat,A,paper_e02_switch_H04_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,10.0,51.0,36.0,17.0
H04,1,switch,A,paper_e02_switch_H04_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,1,switch,A,paper_e02_switch_H04_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,11.0,55.0,38.0,18.0
H04,1,repeat,B,paper_e02_switch_H04_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,1,repeat,B,paper_e02_switch_H04_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,10.0,51.0,36.0,17.0
H04,1,switch,B,paper_e02_switch_H04_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,1,switch,B,paper_e02_switch_H04_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,11.0,55.0,38.0,18.0
H04,2,repeat,A,paper_e02_switch_H04_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,2,repeat,A,paper_e02_switch_H04_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,10.0,51.0,36.0,17.0
H04,2,switch,A,paper_e02_switch_H04_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,2,switch,A,paper_e02_switch_H04_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,11.0,55.0,38.0,18.0
H04,2,repeat,B,paper_e02_switch_H04_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,2,repeat,B,paper_e02_switch_H04_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,10.0,51.0,36.0,17.0
H04,2,switch,B,paper_e02_switch_H04_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,2,switch,B,paper_e02_switch_H04_switch_B_r2_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,11.0,55.0,38.0,18.0
H04,3,repeat,A,paper_e02_switch_H04_repeat_A_r3_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,3,repeat,A,paper_e02_switch_H04_repeat_A_r3_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,10.0,51.0,36.0,17.0
H04,3,switch,A,paper_e02_switch_H04_switch_A_r3_e02_label_switch_holdout_confirm_v1,first,0,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,8.0,27.0,16.0,8.0
H04,3,switch,A,paper_e02_switch_H04_switch_A_r3_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,11.0,55.0,38.0,18.0
H04,3,repeat,B,paper_e02_switch_H04_repeat_B_r3_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,3,repeat,B,paper_e02_switch_H04_repeat_B_r3_e02_label_switch_holdout_confirm_v1,second,1,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,10.0,51.0,36.0,17.0
H04,3,switch,B,paper_e02_switch_H04_switch_B_r3_e02_label_switch_holdout_confirm_v1,first,0,曜牒,请完整登记对象{label}。,10,请完整登记对象曜牒。,8.0,27.0,16.0,8.0
H04,3,switch,B,paper_e02_switch_H04_switch_B_r3_e02_label_switch_holdout_confirm_v1,second,1,溪笺,请完整登记对象{label}。,10,请完整登记对象溪笺。,11.0,55.0,38.0,18.0
H05,1,repeat,A,paper_e02_switch_H05_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,1,repeat,A,paper_e02_switch_H05_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,11.0,54.0,38.0,18.0
H05,1,switch,A,paper_e02_switch_H05_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,1,switch,A,paper_e02_switch_H05_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,12.0,58.0,40.0,19.0
H05,1,repeat,B,paper_e02_switch_H05_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,1,repeat,B,paper_e02_switch_H05_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,11.0,54.0,38.0,18.0
H05,1,switch,B,paper_e02_switch_H05_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,1,switch,B,paper_e02_switch_H05_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,12.0,58.0,40.0,19.0
H05,2,repeat,A,paper_e02_switch_H05_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,2,repeat,A,paper_e02_switch_H05_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,11.0,54.0,38.0,18.0
H05,2,switch,A,paper_e02_switch_H05_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,2,switch,A,paper_e02_switch_H05_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,12.0,58.0,40.0,19.0
H05,2,repeat,B,paper_e02_switch_H05_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,2,repeat,B,paper_e02_switch_H05_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,11.0,54.0,38.0,18.0
H05,2,switch,B,paper_e02_switch_H05_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,2,switch,B,paper_e02_switch_H05_switch_B_r2_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,12.0,58.0,40.0,19.0
H05,3,repeat,A,paper_e02_switch_H05_repeat_A_r3_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,3,repeat,A,paper_e02_switch_H05_repeat_A_r3_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,11.0,54.0,38.0,18.0
H05,3,switch,A,paper_e02_switch_H05_switch_A_r3_e02_label_switch_holdout_confirm_v1,first,0,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,8.0,28.0,16.0,8.0
H05,3,switch,A,paper_e02_switch_H05_switch_A_r3_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,12.0,58.0,40.0,19.0
H05,3,repeat,B,paper_e02_switch_H05_repeat_B_r3_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,3,repeat,B,paper_e02_switch_H05_repeat_B_r3_e02_label_switch_holdout_confirm_v1,second,1,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,11.0,54.0,38.0,18.0
H05,3,switch,B,paper_e02_switch_H05_switch_B_r3_e02_label_switch_holdout_confirm_v1,first,0,镜栈,现在同步核验编号{label}。,11,现在同步核验编号镜栈。,8.0,28.0,16.0,8.0
H05,3,switch,B,paper_e02_switch_H05_switch_B_r3_e02_label_switch_holdout_confirm_v1,second,1,川函,现在同步核验编号{label}。,11,现在同步核验编号川函。,12.0,58.0,40.0,19.0
H06,1,repeat,A,paper_e02_switch_H06_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,8.0,27.0,16.0,8.0
H06,1,repeat,A,paper_e02_switch_H06_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,10.0,51.0,36.0,17.0
H06,1,switch,A,paper_e02_switch_H06_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,8.0,27.0,16.0,8.0
H06,1,switch,A,paper_e02_switch_H06_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,11.0,55.0,38.0,18.0
H06,1,repeat,B,paper_e02_switch_H06_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,8.0,27.0,16.0,8.0
H06,1,repeat,B,paper_e02_switch_H06_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,10.0,51.0,36.0,17.0
H06,1,switch,B,paper_e02_switch_H06_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,8.0,27.0,16.0,8.0
H06,1,switch,B,paper_e02_switch_H06_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,11.0,55.0,38.0,18.0
H06,2,repeat,A,paper_e02_switch_H06_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,8.0,27.0,16.0,8.0
H06,2,repeat,A,paper_e02_switch_H06_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,10.0,51.0,36.0,17.0
H06,2,switch,A,paper_e02_switch_H06_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,原钥,请再次记录节点{label}。,10,请再次记录节点原钥。,8.0,27.0,16.0,8.0
H06,2,switch,A,paper_e02_switch_H06_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,11.0,55.0,38.0,18.0
H06,2,repeat,B,paper_e02_switch_H06_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,8.0,27.0,16.0,8.0
H06,2,repeat,B,paper_e02_switch_H06_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,10.0,51.0,36.0,17.0
H06,2,switch,B,paper_e02_switch_H06_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,霁岚,请再次记录节点{label}。,10,请再次记录节点霁岚。,8.0,27.0,16.0,8.0
