case_id,branch,replicate,run_id,tick_index,phase,synthetic_tick,input_is_empty,source_dataset_tick_index,input_text_preview,teacher_rwd,teacher_pun,teacher_applied_count,teacher_attempted_count,action_attempted_weather_stub,action_executed_weather_stub,action_drive_weather_stub_max,action_drive_weather_stub_mean,action_effective_threshold_weather_stub_mean,action_drive_margin_weather_stub_max,action_drive_margin_weather_stub_mean,action_local_lookup_hit_count_weather_stub,action_local_lookup_text_fallback_hit_count_weather_stub,action_local_lookup_miss_count_weather_stub,action_local_reward_drive_bonus_total_weather_stub,action_local_punish_drive_penalty_total_weather_stub,action_local_reward_signal_total_weather_stub,action_local_punish_signal_total_weather_stub,teacher_local_alias_active_count,teacher_local_alias_overlay_applied_count,teacher_local_alias_overlay_rwd,teacher_local_alias_overlay_pun,iesm_action_trigger_weather_stub_count,iesm_action_trigger_targeted_weather_stub_count,city,event,weak_probe,explicit_train
F04,neutral_control,2,paper_e03_F04_neutral_control_r2_e03_final_v1,2,probe,0,0,2,杭州天气呢,0.0,0.0,0,0,0,0,0.49,0.49,0.6,-0.11,-0.11,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,杭州,外出拍照,杭州天气呢,我周末要去杭州外出拍照，杭州天气呢？请帮我查一下。
F04,punish_history,2,paper_e03_F04_punish_history_r2_e03_final_v1,3,probe,0,0,2,杭州天气呢,0.0,0.0,0,0,0,0,0.098,0.098,0.6,-0.502,-0.502,1,1,0,0.0,0.392,0.0,1.0,1,1,0.0,0.7,1,1,杭州,外出拍照,杭州天气呢,我周末要去杭州外出拍照，杭州天气呢？请帮我查一下。
F04,reward_history,2,paper_e03_F04_reward_history_r2_e03_final_v1,3,probe,0,0,2,杭州天气呢,0.0,0.0,0,0,1,0,0.282,0.282,0.6,-0.318,-0.318,1,1,0,0.392,0.0,1.0,0.09401057,1,1,0.75,0.0,1,1,杭州,外出拍照,杭州天气呢,我周末要去杭州外出拍照，杭州天气呢？请帮我查一下。
F05,neutral_control,1,paper_e03_F05_neutral_control_r1_e03_final_v1,2,probe,0,0,2,成都天气呢,0.0,0.0,0,0,0,0,0.49,0.49,0.6,-0.11,-0.11,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F05,punish_history,1,paper_e03_F05_punish_history_r1_e03_final_v1,3,probe,0,0,2,成都天气呢,0.0,0.0,0,0,0,0,0.098,0.098,0.6,-0.502,-0.502,1,1,0,0.0,0.392,0.0,1.0,1,1,0.0,0.7,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F05,reward_history,1,paper_e03_F05_reward_history_r1_e03_final_v1,3,probe,0,0,2,成都天气呢,0.0,0.0,0,0,1,0,0.282,0.282,0.6,-0.318,-0.318,1,1,0,0.392,0.0,1.0,0.09442099,1,1,0.75,0.0,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F05,neutral_control,2,paper_e03_F05_neutral_control_r2_e03_final_v1,2,probe,0,0,2,成都天气呢,0.0,0.0,0,0,0,0,0.49,0.49,0.6,-0.11,-0.11,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F05,punish_history,2,paper_e03_F05_punish_history_r2_e03_final_v1,3,probe,0,0,2,成都天气呢,0.0,0.0,0,0,0,0,0.098,0.098,0.6,-0.502,-0.502,1,1,0,0.0,0.392,0.0,1.0,1,1,0.0,0.7,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F05,reward_history,2,paper_e03_F05_reward_history_r2_e03_final_v1,3,probe,0,0,2,成都天气呢,0.0,0.0,0,0,1,0,0.282,0.282,0.6,-0.318,-0.318,1,1,0,0.392,0.0,1.0,0.09442099,1,1,0.75,0.0,1,1,成都,见客户,成都天气呢,我明天下午要去成都见客户，成都天气呢？请帮我查一下。
F06,neutral_control,1,paper_e03_F06_neutral_control_r1_e03_final_v1,2,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,0,0,0.49,0.49,0.6,-0.11,-0.11,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
F06,punish_history,1,paper_e03_F06_punish_history_r1_e03_final_v1,3,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,0,0,0.098,0.098,0.6,-0.502,-0.502,1,1,0,0.0,0.392,0.0,1.0,1,1,0.0,0.7,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
F06,reward_history,1,paper_e03_F06_reward_history_r1_e03_final_v1,3,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,1,0,0.282,0.282,0.6,-0.318,-0.318,1,1,0,0.392,0.0,1.0,0.09442099,1,1,0.75,0.0,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
F06,neutral_control,2,paper_e03_F06_neutral_control_r2_e03_final_v1,2,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,0,0,0.49,0.49,0.6,-0.11,-0.11,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
F06,punish_history,2,paper_e03_F06_punish_history_r2_e03_final_v1,3,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,0,0,0.098,0.098,0.6,-0.502,-0.502,1,1,0,0.0,0.392,0.0,1.0,1,1,0.0,0.7,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
F06,reward_history,2,paper_e03_F06_reward_history_r2_e03_final_v1,3,probe,0,0,2,武汉天气呢,0.0,0.0,0,0,1,0,0.282,0.282,0.6,-0.318,-0.318,1,1,0,0.392,0.0,1.0,0.09442099,1,1,0.75,0.0,1,1,武汉,去学校办手续,武汉天气呢,我明天要去武汉学校办手续，武汉天气呢？请帮我查一下。
